state,year,marketplace_type
MS,2002,pre_ACA
MS,2003,pre_ACA
MS,2004,pre_ACA
MS,2005,pre_ACA
MS,2006,pre_ACA
MS,2007,pre_ACA
MS,2008,pre_ACA
MS,2009,pre_ACA
MS,2010,pre_ACA
MS,2011,pre_ACA
MS,2012,pre_ACA
MS,2013,pre_ACA
MS,2014,FFM
MS,2015,FFM
MS,2016,FFM
MS,2017,FFM
MS,2018,FFM
MS,2019,FFM
MS,2020,FFM
MS,2021,FFM
MS,2022,FFM
MS,2023,FFM
MT,2001,pre_ACA
MT,2002,pre_ACA
MT,2003,pre_ACA
MT,2004,pre_ACA
MT,2005,pre_ACA
MT,2006,pre_ACA
MT,2007,pre_ACA
MT,2008,pre_ACA
MT,2009,pre_ACA
MT,2010,pre_ACA
MT,2011,pre_ACA
MT,2012,pre_ACA
MT,2013,pre_ACA
MT,2014,FFM
MT,2015,FFM
MT,2016,FFM
MT,2017,FFM
MT,2018,FFM
MT,2019,FFM
MT,2020,FFM
MT,2021,FFM
MT,2022,FFM
MT,2023,FFM
NC,2001,pre_ACA
NC,2002,pre_ACA
NC,2003,pre_ACA
NC,2004,pre_ACA
NC,2005,pre_ACA
NC,2006,pre_ACA
NC,2007,pre_ACA
NC,2008,pre_ACA
NC,2009,pre_ACA
NC,2010,pre_ACA
NC,2011,pre_ACA
NC,2012,pre_ACA
NC,2013,pre_ACA
NC,2014,FFM
NC,2015,FFM
NC,2016,FFM
NC,2017,FFM
NC,2018,FFM
NC,2019,FFM
NC,2020,FFM
NC,2021,FFM
NC,2022,FFM
NC,2023,FFM
ND,2001,pre_ACA
ND,2002,pre_ACA
ND,2003,pre_ACA
ND,2004,pre_ACA
ND,2005,pre_ACA
ND,2006,pre_ACA
ND,2007,pre_ACA
ND,2008,pre_ACA
ND,2009,pre_ACA
ND,2010,pre_ACA
ND,2011,pre_ACA
ND,2012,pre_ACA
ND,2013,pre_ACA
ND,2014,FFM
ND,2015,FFM
ND,2016,FFM
ND,2017,FFM
ND,2018,FFM
ND,2019,FFM
ND,2020,FFM
ND,2021,FFM
ND,2022,FFM
ND,2023,FFM
NE,2001,pre_ACA
NE,2002,pre_ACA
NE,2003,pre_ACA
NE,2004,pre_ACA
NE,2005,pre_ACA
NE,2006,pre_ACA
NE,2007,pre_ACA
NE,2008,pre_ACA
NE,2009,pre_ACA
NE,2010,pre_ACA
NE,2011,pre_ACA
NE,2012,pre_ACA
NE,2013,pre_ACA
NE,2014,FFM
NE,2015,FFM
NE,2016,FFM
NE,2017,FFM
NE,2018,FFM
NE,2019,FFM
NE,2020,FFM
NE,2021,FFM
NE,2022,FFM
NE,2023,FFM
