state,year,median_household_income,population
MT,2014,46328.0,1023579.0
NE,2014,52686.0,1881503.0
NV,2014,51450.0,2839099.0
NH,2014,66532.0,1326813.0
NJ,2014,71919.0,8938175.0
NM,2014,44803.0,2085572.0
NY,2014,58878.0,19746227.0
NC,2014,46556.0,9943964.0
ND,2014,59029.0,739482.0
OH,2014,49308.0,11594163.0
OK,2014,47529.0,3878051.0
OR,2014,51075.0,3970239.0
PA,2014,53234.0,12787209.0
RI,2014,54891.0,1055173.0
SC,2014,45238.0,4832482.0
SD,2014,50979.0,853175.0
TN,2014,44361.0,6549352.0
TX,2014,53035.0,26956958.0
VT,2014,54166.0,626562.0
UT,2014,60922.0,2942902.0
VA,2014,64902.0,8326289.0
WA,2014,61366.0,7061530.0
WI,2014,52622.0,5757564.0
WY,2014,57055.0,584153.0
MS,2015,40593.0,2992333.0
MO,2015,50238.0,6083672.0
MT,2015,49509.0,1032949.0
NE,2015,54996.0,1896190.0
NV,2015,52431.0,2890845.0
NH,2015,70303.0,1330608.0
NJ,2015,72222.0,8958013.0
NM,2015,45382.0,2085109.0
NY,2015,60850.0,19795791.0
NC,2015,47830.0,10042802.0
ND,2015,60557.0,756928.0
OH,2015,51075.0,11613423.0
OK,2015,48568.0,3911338.0
OR,2015,54148.0,4028977.0
PA,2015,55702.0,12802503.0
RI,2015,58073.0,1056298.0
SC,2015,47238.0,4896146.0
SD,2015,53017.0,858469.0
TN,2015,47275.0,6600299.0
TX,2015,55653.0,27469114.0
VT,2015,56990.0,626042.0
UT,2015,62912.0,2995919.0
VA,2015,66262.0,8382993.0
WA,2015,64129.0,7170351.0
WI,2015,55638.0,5771337.0
WY,2015,60214.0,586107.0
AL,2015,44765.0,4858979.0
AK,2015,73355.0,738432.0
AZ,2015,51492.0,6828065.0
AR,2015,41995.0,2978204.0
CA,2015,64500.0,39144818.0
CO,2015,63909.0,5456574.0
DE,2015,61255.0,945934.0
DC,2015,75628.0,672228.0
CT,2015,71346.0,3590886.0
FL,2015,49426.0,20271272.0
GA,2015,51244.0,10214860.0
ID,2015,48275.0,1654930.0
HI,2015,73486.0,1431603.0
IL,2015,59588.0,12859995.0
IN,2015,50532.0,6619680.0
IA,2015,54736.0,3123899.0
KS,2015,53906.0,2911641.0
KY,2015,45215.0,4425092.0
LA,2015,45727.0,4670724.0
ME,2015,51494.0,1329328.0
MD,2015,75847.0,6006401.0
MA,2015,70628.0,6794422.0
MI,2015,51084.0,9922576.0
MN,2015,63488.0,5489594.0
MS,2016,41754.0,2988726.0
MO,2016,51746.0,6093000.0
MT,2016,50027.0,1042520.0
NE,2016,56927.0,1907116.0
NV,2016,55180.0,2940058.0
NH,2016,70936.0,1334795.0
NJ,2016,76126.0,8944469.0
NM,2016,46748.0,2081015.0
NY,2016,62909.0,19745289.0
NC,2016,50584.0,10146788.0
ND,2016,60656.0,757953.0
OH,2016,52334.0,11614373.0
OK,2016,49176.0,3923561.0
OR,2016,57532.0,4093465.0
PA,2016,56907.0,12784227.0
RI,2016,60596.0,1056426.0
SC,2016,49501.0,4961119.0
SD,2016,54467.0,865454.0
TN,2016,48547.0,6651194.0
TX,2016,56565.0,27862596.0
VT,2016,57677.0,624594.0
UT,2016,65977.0,3051217.0
VA,2016,68114.0,8411808.0
WA,2016,67106.0,7288000.0
WI,2016,56811.0,5778709.0
WY,2016,59882.0,585501.0
AL,2016,46257.0,4863300.0
AK,2016,76440.0,741894.0
AZ,2016,53558.0,6931071.0
AR,2016,44334.0,2988248.0
CA,2016,67739.0,39250017.0
CO,2016,65685.0,5540545.0
DE,2016,61757.0,952065.0
GA,2016,53559.0,10310371.0
DC,2016,75506.0,681170.0
CT,2016,73433.0,3576452.0
FL,2016,50860.0,20612439.0
ID,2016,51807.0,1683140.0
HI,2016,74511.0,1428557.0
IL,2016,60960.0,12801539.0
IN,2016,52314.0,6633053.0
IA,2016,56247.0,3134693.0
KS,2016,54935.0,2907289.0
KY,2016,46659.0,4436974.0
LA,2016,45146.0,4681666.0
ME,2016,53079.0,1331479.0
MD,2016,78945.0,6016447.0
MA,2016,75297.0,6811779.0
MI,2016,52492.0,9928300.0
MN,2016,65599.0,5519952.0
MS,2017,43529.0,2984100.0
MO,2017,53578.0,6113532.0
MT,2017,53386.0,1050493.0
NE,2017,59970.0,1920076.0
NV,2017,58003.0,2998039.0
NH,2017,73381.0,1342795.0
NJ,2017,80088.0,9005644.0
NM,2017,46744.0,2088070.0
NY,2017,64894.0,19849399.0
NC,2017,52752.0,10273419.0
ND,2017,61843.0,755393.0
OH,2017,54021.0,11658609.0
OK,2017,50051.0,3930864.0
OR,2017,60212.0,4142776.0
PA,2017,59195.0,12805537.0
RI,2017,63870.0,1059639.0
SC,2017,50570.0,5024369.0
SD,2017,56521.0,869666.0
TN,2017,51340.0,6715984.0
TX,2017,59206.0,28304596.0
VT,2017,57513.0,623657.0
UT,2017,68358.0,3101833.0
VA,2017,71535.0,8470020.0
WA,2017,70979.0,7405743.0
WI,2017,59305.0,5795483.0
WY,2017,60434.0,579315.0
AK,2017,73181.0,739795.0
AL,2017,48123.0,4874747.0
AZ,2017,56581.0,7016270.0
AR,2017,45869.0,3004279.0
CA,2017,71805.0,39536653.0
CO,2017,69117.0,5607154.0
DE,2017,62852.0,961939.0
DC,2017,82372.0,693972.0
CT,2017,74168.0,3588184.0
FL,2017,52594.0,20984400.0
GA,2017,56183.0,10429379.0
ID,2017,52225.0,1716943.0
HI,2017,77765.0,1427538.0
IL,2017,62992.0,12802023.0
IN,2017,54181.0,6666818.0
IA,2017,58570.0,3145711.0
KS,2017,56422.0,2913123.0
KY,2017,48375.0,4454189.0
LA,2017,46145.0,4684333.0
ME,2017,56277.0,1335907.0
MD,2017,80776.0,6052177.0
MA,2017,77385.0,6859819.0
MI,2017,54909.0,9962311.0
MN,2017,68388.0,5576606.0
WI,2018,60773.0,5813568.0
WY,2018,61584.0,577737.0
MS,2018,44717.0,2986530.0
MO,2018,54478.0,6126452.0
MT,2018,55328.0,1062305.0
NE,2018,59566.0,1929268.0
NV,2018,58646.0,3034392.0
NH,2018,74991.0,1356458.0
NJ,2018,81740.0,8908520.0
NM,2018,47169.0,2095428.0
NY,2018,67844.0,19542209.0
NC,2018,53855.0,10383620.0
ND,2018,63837.0,760077.0
OH,2018,56111.0,11689442.0
OK,2018,51924.0,3943079.0
OR,2018,63426.0,4190713.0
PA,2018,60905.0,12807060.0
RI,2018,64340.0,1057315.0
SC,2018,52306.0,5084127.0
SD,2018,56274.0,882235.0
TN,2018,52375.0,6770010.0
TX,2018,60629.0,28701845.0
VT,2018,60782.0,626299.0
UT,2018,71414.0,3161105.0
VA,2018,72577.0,8517685.0
WA,2018,74073.0,7535591.0
AL,2018,49861.0,4887871.0
AK,2018,74346.0,737438.0
AZ,2018,59246.0,7171646.0
AR,2018,47062.0,3013825.0
CA,2018,75277.0,39557045.0
CO,2018,71953.0,5695564.0
DE,2018,64805.0,967171.0
DC,2018,85203.0,702455.0
CT,2018,76348.0,3572665.0
FL,2018,55462.0,21299325.0
GA,2018,58756.0,10519475.0
ID,2018,55583.0,1754208.0
HI,2018,80212.0,1420491.0
IL,2018,65030.0,12741080.0
IN,2018,55746.0,6691878.0
IA,2018,59955.0,3156145.0
KS,2018,58218.0,2911510.0
KY,2018,50247.0,4468402.0
LA,2018,47905.0,4659978.0
ME,2018,55602.0,1338404.0
MD,2018,83242.0,6042718.0
MA,2018,79835.0,6902149.0
MI,2018,56697.0,9995915.0
MN,2018,70315.0,5611179.0
MS,2019,45792.0,2976149.0
MO,2019,57409.0,6137428.0
MT,2019,57153.0,1068778.0
NE,2019,63229.0,1934408.0
