state,year,healthcare_spending_per_capita,total_health_spending_millions
MO,2017,8821.2509560758,53929.0
MO,2018,9030.838730149195,55327.0
MO,2019,9435.548571812165,57910.0
MO,2020,,61031.0
NE,2001,,7816.0
NE,2002,,8420.0
NE,2003,,9080.0
NE,2004,,9768.0
NE,2005,6120.765611232964,10448.0
NE,2006,6378.330753688082,11279.0
NE,2007,6686.123012266064,11865.0
NE,2008,6978.11859381238,12445.0
NE,2009,7167.339596197753,12877.0
NE,2010,7402.636212603712,13550.0
NE,2011,7572.826177209777,13954.0
NE,2012,7816.655663491465,14504.0
NE,2013,7916.97796540142,14793.0
NE,2014,8167.938079290865,15368.0
NE,2015,8559.796222952342,16231.0
NE,2016,8940.200805824083,17050.0
NE,2017,9174.636837291857,17616.0
NE,2018,9474.059591513465,18278.0
NE,2019,9907.940827374576,19166.0
NE,2020,,20371.0
ND,2001,,3065.0
ND,2002,,3381.0
ND,2003,,3513.0
ND,2004,,3764.0
ND,2005,6544.792461186428,3990.0
ND,2006,6694.796238836108,4257.0
ND,2007,7135.990245656269,4565.0
ND,2008,7502.950204292879,4813.0
ND,2009,7923.0850096777585,5125.0
ND,2010,8014.837679522134,5406.0
ND,2011,8342.934677716497,5706.0
ND,2012,8488.796903497287,5939.0
ND,2013,8708.959030568447,6300.0
ND,2014,8995.486029409776,6652.0
ND,2015,9340.386403990868,7070.0
ND,2016,9658.910249052382,7321.0
ND,2017,9978.911639371823,7538.0
ND,2018,10268.69646101645,7805.0
ND,2019,10676.296679272815,8136.0
ND,2020,,8649.0
SD,2001,,3316.0
SD,2002,,3676.0
SD,2003,,3957.0
SD,2004,,4171.0
SD,2005,6120.372691288455,4566.0
SD,2006,6275.586090119309,4907.0
SD,2007,6553.506276571026,5218.0
SD,2008,6924.945970748352,5569.0
SD,2009,7324.131598027039,5950.0
SD,2010,7763.977057135473,6339.0
SD,2011,8150.887897078203,6717.0
SD,2012,8457.390256721634,7048.0
SD,2013,8652.146998912267,7310.0
SD,2014,9066.135318076596,7735.0
SD,2015,9584.504507442902,8228.0
SD,2016,10024.796234115274,8676.0
SD,2017,10489.084315127877,9122.0
SD,2018,11050.34372927848,9749.0
SD,2019,11659.859900820542,10315.0
SD,2020,,11154.0
AL,2001,,18576.0
AL,2002,,20219.0
AL,2003,,22493.0
AL,2004,,23734.0
AL,2005,5704.596315906287,25343.0
AL,2006,5805.354607384601,26699.0
AL,2007,5999.5449291690675,27765.0
AL,2008,6173.663098736567,28781.0
AL,2009,6387.739481828136,30078.0
AL,2010,6406.079621373632,30655.0
AL,2011,6509.200997763776,31262.0
AL,2012,6789.681426239568,32740.0
AL,2013,6965.646762474134,33670.0
AL,2014,7268.562539064296,35248.0
AL,2015,7650.166835460701,37172.0
AL,2016,7973.598174079329,38778.0
AL,2017,8160.013227353133,39778.0
AL,2018,8349.238349375424,40810.0
AL,2019,8750.026768314881,42903.0
AL,2020,,45673.0
AR,2001,,10788.0
AR,2002,,11785.0
AR,2003,,12583.0
AR,2004,,13417.0
AR,2005,5392.327251741762,14567.0
AR,2006,5483.351785495746,15413.0
AR,2007,5785.246703732225,16400.0
AR,2008,6025.096396639338,17204.0
AR,2009,6238.903597570472,18027.0
AR,2010,6378.683504894226,18636.0
AR,2011,6547.698264691477,19237.0
AR,2012,6781.319649754453,19999.0
AR,2013,6821.715275499236,20188.0
AR,2014,7289.720193273325,21624.0
AR,2015,7624.057989311679,22706.0
AR,2016,8089.020723848891,24172.0
AR,2017,8408.007378808692,25260.0
AR,2018,8540.641875357727,25740.0
AR,2019,8862.073216153203,26744.0
AR,2020,,28300.0
FL,2001,,77263.0
FL,2002,,83798.0
FL,2003,,90581.0
FL,2004,,98765.0
FL,2005,6111.660162332128,106236.0
FL,2006,6324.416915991027,114408.0
FL,2007,6650.1224053616515,121373.0
FL,2008,6930.578546665983,127026.0
FL,2009,7161.787788079698,132765.0
FL,2010,7269.629576010095,136984.0
FL,2011,7374.665631066168,140543.0
FL,2012,7603.130994543412,146874.0
FL,2013,7602.2638120459105,148646.0
FL,2014,7949.612374459598,158144.0
FL,2015,8308.161421740086,168417.0
FL,2016,8525.143482534988,175724.0
FL,2017,8811.402756333277,184902.0
FL,2018,9129.115594038778,194444.0
FL,2019,9496.205303193721,203957.0
FL,2020,,214408.0
